organization,initials,href,course_code,course_name,course_info,instructor,filtered_name,organization_code,organization_href
Yasar University,yasar,https://ce.yasar.edu.tr/comp-4433-bulut-bilisim/,COMP 4433,Bulut Bilişim,"Bulut Bilişimin temel kavramları, pazardaki büyük Bulut Servis Sağlayıcıları, Bulut entegrasyonu, Web hizmetleri ve API mimarisi, Amazon Web Services, Google App. MS Azure, Force.com gibi Bulut hizmet sağlayıcılara hakkında ayrıntılı bilgi.",Dr. Tuncay Ercan,TUNCAY ERCAN,3290508832415677230,https://ce.yasar.edu.tr/dersler/
Yasar University,yasar,https://ce.yasar.edu.tr/comp-4434-hareketli-bilgisayar-sistemleri/,COMP 4434,Hareketli Bilgisayar Sistemleri,"Bu ders kablosuz ve hareketli ağlardaki farklı standartları ve protokolleri, mimarileri, yönetim ve güvenlik gibi temel konuları içerir.",Dr. Tuncay Ercan,TUNCAY ERCAN,3290508832415677230,https://ce.yasar.edu.tr/dersler/
Yasar University,yasar,https://ce.yasar.edu.tr/comp-4436-yapay-us/,COMP 4436,Yapay Us,"Giriş, alt alanları ve tarihçesi, akıllı ajanlar, bilgisiz arama yoluyla problem çözme, bilgili arama yoluyla OOP dillerinde problem çözme, birinci dereceden mantık, mantık programlama ve Prolog, bilgi gösterimine giriş, makine öğrenme, robotik için arama uygulanması .",Dr. İbrahim Zincir,İBRAHIM ZINCIR,3290508832415677230,https://ce.yasar.edu.tr/dersler/
Yasar University,yasar,https://ce.yasar.edu.tr/comp-4438-hareketli-ve-kablosuz-aglar/,COMP 4438,Hareketli ve Kablosuz Ağlar,"Bu ders kablosuz ve hareketli ağlardaki farklı standartları ve protokolleri, mimarileri, yönetim ve güvenlik gibi temel konuları içerir.",Dr. Tuncay Ercan,TUNCAY ERCAN,3290508832415677230,https://ce.yasar.edu.tr/dersler/
Yasar University,yasar,https://ce.yasar.edu.tr/comp-4439-bilgisayar-ag-programlama/,COMP 4439,Bilgisayar Ağ Programlama,"Bu ders içinde öğrencilere ağ programlamasına ait temel bilgiler, TCP/IP protokol yapısı, farklı internet uygulamaları tarafından kullanılan protokoller, soket programlama gibi konuklar yer almaktadır. Ders genellikle Java Ağ Programalama kavramları üzerine inşa edilmektedir.",Dr. Hüseyin Hışıl,HÜSEYIN HIŞIL,3290508832415677230,https://ce.yasar.edu.tr/dersler/
Yasar University,yasar,https://ce.yasar.edu.tr/comp-4440-ag-tasarimi-ve-yonetimi/,COMP 4440,Ağ Tasarımı ve Yönetimi,"Bu ders kablosuz ve hareketli ağlardaki farklı standartları ve protokolleri, mimarileri, yönetim ve güvenlik gibi temel konuları içerir.",Dr. Tuncay Ercan,TUNCAY ERCAN,3290508832415677230,https://ce.yasar.edu.tr/dersler/
Yasar University,yasar,https://ce.yasar.edu.tr/comp-4441-siber-guvenlik/,COMP 4441,Siber Güvenlik,"Bilgi güvenliğinde tehdit, zayıflık, risk kavramları. İşletim sistemlerinde güvenlik ve güvenli işletim sistemi modelleri, Turuncu Kitap ilkeleri. Ağ güvenliği, veri güvenliği. Zararlı kodlar, zararlı kod belirleme teknikleri ve sistemleri. Kriptografinin temelleri. Simetrik ve asimetrik kriptosistemleri.",Dr. Ahmet Koltuksuz,AHMET KOLTUKSUZ,3290508832415677230,https://ce.yasar.edu.tr/dersler/
Yasar University,yasar,https://ce.yasar.edu.tr/comp-4442-veri-depolari/,COMP 4442,Veri Depoları,"Veri ambarı temelleri, veri ambarı uygulamaları",Dr. İbrahim Zincir,İBRAHIM ZINCIR,3290508832415677230,https://ce.yasar.edu.tr/dersler/
Yasar University,yasar,https://ce.yasar.edu.tr/comp-4460-oyun-programlama/,COMP 4460,Oyun Programlama,"Oyun geliştirme prensipleri, kullanıcı etkileşimi kavramları, oyun veri yapıları, oyun fizikleri",Dr. Orkun Karabaşoğlu,ORKUN KARABAŞOĞLU,3290508832415677230,https://ce.yasar.edu.tr/dersler/
Yasar University,yasar,https://ce.yasar.edu.tr/comp-4462-veri-madenciligi/,COMP 4462,Veri Madenciliği,"Sınıflandırma, birliktelik ve kümeleme analizi gibi veri madenciliği veri ön işleme teknikleri",Dr. İbrahim Zincir,İBRAHIM ZINCIR,3290508832415677230,https://ce.yasar.edu.tr/dersler/
Yasar University,yasar,https://ce.yasar.edu.tr/math-4224-stokastik-surecler/,MATH 4224,Stokastik Süreçler,"Bu ders istatistik ve veri analizi yöntemlerini tanıtır. İstatistiksel yazılım SPSS ve WEKA, uygulamalı veri analizi deneyimi sağlayan, dersin ayrılmaz bir parçasını oluşturacaktır.",Dr. Şaban Eren,ŞABAN EREN,3290508832415677230,https://ce.yasar.edu.tr/dersler/
